690,M-1/M-2 (90 PC),0,0,0,0.8,50,1.25,6,0.8
695,M-1/M-2 (95 PC),0,0,0,0.8,50,1.25,6,0.8
705,M-3 (05 PDF),0.2,0,1.7,0.8,50,1.25,6,0.8
710,M-3 (10 PDF),5.1,0.002,1.7,0.8,50,1.25,6,0.8
715,M-3 (15 PDF),16.5,0.007,1.7,0.8,50,1.25,6,0.8
720,M-3 (20 PDF),29.5,0.014,1.6,0.8,50,1.25,6,0.8
725,M-3 (25 PDF),41.9,0.019,1.6,0.8,50,1.25,6,0.8
730,M-3 (30 PDF),52.9,0.025,1.6,0.8,50,1.25,6,0.8
735,M-3 (35 PDF),62.5,0.029,1.6,0.8,50,1.25,6,0.8
740,M-3 (40 PDF),70.9,0.033,1.6,0.8,50,1.25,6,0.8
745,M-3 (45 PDF),78.1,0.037,1.6,0.8,50,1.25,6,0.8
750,M-3 (50 PDF),84.4,0.04,1.5,0.8,50,1.25,6,0.8
755,M-3 (55 PDF),90,0.043,1.5,0.8,50,1.25,6,0.8
760,M-3 (60 PDF),94.9,0.045,1.5,0.8,50,1.25,6,0.8
765,M-3 (65 PDF),99.2,0.047,1.5,0.8,50,1.25,6,0.8
770,M-3 (70 PDF),103.1,0.049,1.5,0.8,50,1.25,6,0.8
775,M-3 (75 PDF),106.6,0.051,1.5,0.8,50,1.25,6,0.8
780,M-3 (80 PDF),109.8,0.052,1.5,0.8,50,1.25,6,0.8
785,M-3 (85 PDF),112.6,0.054,1.4,0.8,50,1.25,6,0.8
790,M-3 (90 PDF),115.2,0.055,1.4,0.8,50,1.25,6,0.8
795,M-3 (95 PDF),117.6,0.056,1.4,0.8,50,1.25,6,0.8
805,M-4 (05 PDF),0.1,0.04,2.9,0.8,50,1.25,6,0.8
810,M-4 (10 PDF),4,0.04,2.8,0.8,50,1.25,6,0.8
815,M-4 (15 PDF),13.1,0.04,2.7,0.8,50,1.25,6,0.8
820,M-4 (20 PDF),23.7,0.04,2.6,0.8,50,1.25,6,0.8
825,M-4 (25 PDF),33.8,0.04,2.5,0.8,50,1.25,6,0.8
830,M-4 (30 PDF),42.9,0.04,2.4,0.8,50,1.25,6,0.8
